功能编码,Jira链接,开发状态,预估工时,开发负责人,测试负责人,所属端,模块,一级菜单,优先级,二级菜单,功能点,功能说明,适用角色,前置条件,输入字段,输出字段,交互说明,后置条件,异常场景,业务场景逻辑,数据流转,页面元素,依赖外部接口
待分配,,待开发,,,,平台端,商品管理,商品管理,P0,规格属性,属性值管理,维护每个属性的可选值,平台管理员,1.登录成功2.属性组已创建,1.属性值名称(必填,2-20字)2.所属属性组,1.属性值列表,1.按属性组筛选,1.属性值更新,1.重复属性值→提示"属性值已存在",规格值维护,属性组下维护多个可选值,1.属性组下拉2.新增弹窗,属性值接口
待分配,,待开发,,,,平台端,商品管理,商品管理,P0,SPU管理,SPU列表查询,查询SPU商品列表,平台运营/管理员,登录成功,1.分类ID2.品牌3.状态4.搜索关键词,1.分页列表2.关联SKU数量,1.多条件筛选2.分类树形筛选,1.无,1.无数据→空状态,商品库管理,筛选条件→分页查询,1.分类树筛选器2.SPU列表3.操作列,SPU列表接口
待分配,,待开发,,,,平台端,商品管理,商品管理,P0,SPU管理,新增SPU,创建SPU商品定义,平台管理员,1.登录成功2.分类/规格已配置,1.SPU名称(必填,2-100字)2.所属分类(必填)3.品牌4.规格属性组(必选至少1组)5.主图(必填至少1张)6.商品描述(富文本),1.成功→生成SPU编码跳转详情2.失败→返回字段错误,1.3步骤表单2.每步校验通过才下一步3.规格组合自动预览SKU,1.SPU表新增2.自动生成关联SKU记录,1.规格组合>100个→提示"规格组合过多请精简",商品基础信息定义,SPU信息→笛卡尔积→生成多个SKU,1.【新增SPU】主按钮2.步骤条3.规格预览表格4.图片墙,创建SPU接口
待分配,,待开发,,,,平台端,商品管理,商品管理,P0,SPU管理,SPU详情,查看SPU详细信息,平台运营/管理员,1.登录成功2.SPU存在,1.SPU ID,1.基本信息2.关联SKU列表3.规格属性展示,1.分卡片布局,1.记录查看日志,1.SPU不存在→提示返回,查看商品定义,SPU ID→查询基本信息+关联SKU,1.信息卡片2.SKU列表表格,SPU详情接口
待分配,,待开发,,,,平台端,商品管理,商品管理,P1,SPU管理,SPU编辑,编辑SPU信息,平台管理员,1.登录成功2.SPU存在,1.SPU ID2.名称3.品牌4.描述,1.保存成功提示,1.弹窗编辑,1.更新SPU信息记录变更日志,1.名称为空→校验不通过,商品信息更新,表单提交→更新数据库→记录变更日志,1.编辑按钮2.编辑弹窗,更新SPU接口
待分配,,待开发,,,,平台端,商品管理,商品管理,P0,SKU管理,SKU列表查询,查询SKU商品列表,平台运营/管理员,登录成功,1.分类ID2.SPU名称3.品牌4.状态,1.分页列表2.库存/价格信息,1.多条件筛选,1.筛选条件缓存,1.无数据→空状态,SKU商品管理,筛选条件→分页查询,1.筛选表单2.SKU表格3.编辑按钮,SKU列表接口
待分配,,待开发,,,,平台端,商品管理,商品管理,P0,SKU管理,SKU详情,查看SKU完整信息,平台运营/管理员,1.登录成功2.SKU存在,1.SKU ID(路径参数),1.基本信息卡片2.规格属性标签3.价格信息4.准入供应商列表(供货价+状态),1.卡片式布局2.供应商状态不同颜色标签3.价格高亮,1.记录查看日志,1.SKU不存在→返回列表提示,查看商品完整信息,SKU ID→基本信息+供应商供货数据,1.返回按钮2.信息描述列表3.价格卡片4.供应商表格,SKU详情接口
待分配,,待开发,,,,平台端,商品管理,商品管理,P1,SKU管理,SKU编辑,修改SKU价格信息,平台运营/管理员,1.登录成功2.SKU存在,1.SKU ID2.供货基准价(>0)3.建议销售价(>0),1.保存成功提示,1.弹窗编辑2.价格校验>0,1.更新SKU价格2.记录价格变更历史,1.价格负数→提示"价格必须大于0",价格调整,表单提交→更新SKU表→变更日志,1.编辑按钮2.价格编辑弹窗3.提交按钮,更新SKU接口
待分配,,待开发,,,,平台端,商品管理,商品管理,P0,供应商供货,供货列表查询,查看供应商供货关系,平台运营/管理员,登录成功,1.供应商ID2.SKU ID3.供货状态,1.分页列表2.当前供货价格,1.多条件筛选,1.无,1.无数据→空状态,供应商供货管理,筛选→分页查询,1.筛选条件2.供货表格,供货列表接口
待分配,,待开发,,,,平台端,商品管理,商品管理,P0,供应商供货,设置供货价,设置供应商的供货价格,平台运营/管理员,1.登录成功2.供货关系已建立,1.供货关系ID2.供货价格(>0),1.保存成功提示,1.弹窗编辑价格,1.更新供货价2.记录变更历史,1.价格≤0→提示"价格必须大于0",供应商商品定价,价格设置→更新供货关系表,1.设置价格按钮2.编辑弹窗,设置供货价接口
待分配,,待开发,,,,平台端,商品管理,商品管理,P1,供应商供货,供货状态切换,启用/停用供货关系,平台运营/管理员,登录成功,1.供货关系ID2.目标状态,1.状态切换成功提示,1.开关切换+二次确认,1.更新供货状态,1.停用后工程仓端不可见该商品,供应商准入管理,状态切换→影响工程仓端可见性,1.状态开关2.确认弹窗,状态更新接口
待分配,,待开发,,,,平台端,商品市场,商品市场,P0,供应商品市场,商品列表,查看供应商供应商品池,平台运营,登录成功,1.供应商ID2.分类3.上下架状态,1.商品列表2.供应商名称3.供货价,1.多条件筛选,1.无,1.无数据→空状态,供应商品池管理,筛选→分页查询,1.筛选条件2.商品列表表格,商品列表接口
待分配,,待开发,,,,平台端,商品市场,商品市场,P0,供应商品市场,商品上下架,供应商商品上下架操作,平台运营,1.登录成功2.商品已关联供应商,1.商品ID列表(支持批量)2.目标状态(上架/下架)3.下架原因(可选),1.成功条数/失败条数汇总,1.单行操作即时反馈2.批量操作进度条,1.更新商品上架状态2.记录操作人,1.已上架重复上架→提示"已上架"2.部分失败→展示明细,商品上架审核管控,状态变更→工程仓端可见/不可见,1.上下架按钮2.批量复选框3.下架原因输入,商品上下架接口
待分配,,待开发,,,,平台端,商品市场,商品市场,P1,供应商品市场,批量上下架,批量操作商品上下架,平台运营,1.登录成功2.已选择商品,1.商品ID数组2.目标状态,1.操作结果汇总弹窗,1.显示进度条2.成功/失败分开展示,1.批量更新状态,1.部分成功部分失败→展示明细,提高运营效率,批量选择→调用批量接口→展示结果,1.复选框2.批量操作按钮3.结果汇总弹窗,批量操作接口
待分配,,待开发,,,,平台端,商品市场,商品市场,P0,销售商品市场,商品列表,按工程仓+子仓库筛选商品,平台运营,登录成功,1.项目工程仓ID2.子仓库ID,1.筛选后的商品列表2.选中仓面包屑,1.选择项目仓后子仓库自动过滤2.支持清空筛选,1.URL保留筛选参数,1.无权限仓库→不出现在下拉,按仓查看不同销售商品,项目仓ID→过滤子仓库选项→按warehouseId查询,1.项目仓下拉2.子仓库联动下拉3.筛选面包屑4.清空按钮,商品列表接口
待分配,,待开发,,,,平台端,商品市场,商品市场,P1,销售商品市场,销售价格设置,设置工程仓销售价格,平台运营,1.登录成功2.商品存在,1.商品ID2.工程仓ID3.销售价格(>0),1.保存成功提示,1.弹窗编辑,1.更新该仓该商品售价,1.价格≤0→校验不通过,工程仓差异化定价,价格设置→更新该仓销售价,1.【设置价格】按钮2.编辑弹窗,价格设置接口
待分配,,待开发,,,,平台端,商品市场,商品市场,P1,BOM基装包,BOM列表,查看BOM组合商品列表,平台运营,登录成功,1.BOM名称2.状态,1.BOM列表2.包含商品数量,1.列表展示,1.无,1.无数据→空状态,BOM套餐管理,筛选→分页查询,1.筛选表单2.BOM列表,BOM列表接口
待分配,,待开发,,,,平台端,商品市场,商品市场,P1,BOM基装包,创建BOM,创建BOM组合商品,平台运营,登录成功,1.BOM名称(必填)2.包含商品列表(至少1个)3.套餐价格4.BOM图片,1.成功→跳转详情,1.多步骤选择商品2.自动计算套餐价,1.生成BOM记录2.关联商品,1.商品不足1个→提示"至少选择1个商品",主材基装包定义,选择多个SKU→设置套餐价→创建BOM,1.创建按钮2.商品选择器3.价格设置,创建BOM接口
待分配,,待开发,,,,平台端,商品市场,商品市场,P1,BOM基装包,BOM详情,查看BOM详细信息,平台运营,1.登录成功2.BOM存在,1.BOM ID,1.BOM基本信息2.包含商品明细,1.分卡片展示,1.记录查看,1.BOM不存在→提示返回,BOM详情查看,BOM ID→查询基本信息+关联商品,1.信息卡片2.商品明细表格,BOM详情接口
待分配,,待开发,,,,平台端,商品市场,商品市场,P2,BOM基装包,BOM编辑,编辑BOM信息,平台运营,1.登录成功2.BOM存在,1.BOM ID2.名称3.商品列表4.价格,1.保存成功提示,1.编辑页面,1.更新BOM信息记录变更,1.名称为空→校验不通过,BOM套餐调整,表单提交→更新数据库,1.编辑按钮2.编辑页面,更新BOM接口
待分配,,待开发,,,,平台端,商品市场,商品市场,P1,价格管理,价格列表,商品价格监控列表,平台运营,登录成功,1.商品名称2.价格区间,1.商品列表2.历史价格曲线,1.排序功能,1.无,1.价格异常标红,价格异常监控,筛选→分页查询,1.价格数字(异常标红)2.趋势小图标,价格列表接口
待分配,,待开发,,,,平台端,订单管理,订单管理,P0,订单列表,全量订单查询,查询所有端的订单列表,平台运营/客服,登录成功,1.订单状态2.下单时间3.订单号4.商户名称/工程仓,1.分页列表2.订单汇总金额3.各状态订单数量,1.多Tab状态快速筛选2.高级筛选3.点击订单号跳转详情,1.筛选条件保留URL2.默认按时间倒序,1.时间范围超过3个月→提示建议缩小,全平台所有订单监控,状态筛选→分页查询→跳转详情,1.状态Tab2.高级筛选3.订单号超链接,订单列表接口
待分配,,待开发,,,,平台端,订单管理,订单管理,P0,订单详情,查看订单完整信息,平台运营/客服,1.登录成功2.订单存在,1.订单ID,1.基本信息2.商品明细表格3.状态时间线(操作人+时间)4.收货/发票/支付信息,1.竖向时间线展示流转2.商品明细展开收起3.关键金额标红,1.标记已查看,1.订单不存在→提示返回列表,订单详情核查,订单ID→查询基本信息+状态流转日志+支付关联,1.时间线组件2.商品明细表格3.订单卡片,订单详情接口
待分配,,待开发,,,,平台端,订单管理,订单管理,P1,订单列表,订单状态追踪,订单状态流转记录,平台客服,1.登录成功2.订单存在,1.订单ID,1.每个节点的操作人/时间/备注,1.时间线展开查看详情,1.无,1.无日志→显示初始状态,订单问题排查,订单ID→查询状态变更日志,1.【追踪】按钮2.时间线弹窗,状态日志接口
待分配,,待开发,,,,平台端,订单管理,订单管理,P2,销售订单,订单导出,订单数据导出Excel,平台运营,1.登录成功2.筛选结果,1.筛选条件,1.Excel文件下载,1.导出按钮显示进度,1.标记已导出,1.导出超过1000条→提示分批导出,订单数据报表,筛选条件→异步生成Excel→下载链接,1.导出按钮2.进度提示,导出接口
待分配,,待开发,,,,平台端,库存管理,库存管理,P1,库存总览,全平台库存统计,按维度统计展示库存数据,平台运营,登录成功,1.时间范围2.仓库维度,1.库存总金额2.SKU种类3.库存预警商品数,1.统计卡片2.饼图/柱状图,1.无,1.无数据→0显示,库存整体监控,维度选择→统计接口→渲染图表+数字,1.维度下拉2.统计卡片3.图表组件,库存统计接口
待分配,,待开发,,,,平台端,库存管理,库存管理,P1,仓库列表,仓库列表查询,查看所有仓库列表,平台运营,登录成功,1.工程仓ID2.仓库状态,1.仓库分页列表2.每个仓库库存汇总,1.多条件筛选,1.无,1.无数据→空状态,仓库管理,筛选→分页查询,1.筛选条件2.仓库列表卡片,仓库列表接口
待分配,,待开发,,,,平台端,库存管理,库存管理,P1,仓库详情,查看仓库详细库存,平台运营,1.登录成功2.仓库存在,1.仓库ID,1.该仓库所有商品库存列表,1.列表展示,1.无,1.库存为0标红,仓库库存详情查看,仓库ID→查询该仓所有商品库存,1.仓库名称链接2.商品库存列表,仓库详情接口
待分配,,待开发,,,,平台端,库存管理,库存管理,P2,调拨管理,调拨列表,查看跨仓库调拨记录,平台运营,登录成功,1.调拨状态2.时间范围,1.调拨单列表,1.列表展示,1.无,1.无数据→空状态,库存调拨管理,筛选→分页查询,1.筛选条件2.调拨列表,调拨列表接口
待分配,,待开发,,,,平台端,库存管理,库存管理,P2,调拨管理,创建调拨单,创建仓库间调拨单,平台运营,登录成功,1.源仓库ID2.目标仓库ID3.商品SKU+数量,1.成功→生成调拨单号,1.选择商品弹窗2.数量校验≤源仓库存,1.生成调拨单2.源仓库预占库存,1.数量>库存→提示"库存不足",跨仓调货,创建调拨单→源仓预占→目标仓收货,1.创建按钮2.商品选择器3.数量输入,创建调拨接口
待分配,,待开发,,,,平台端,库存管理,库存管理,P1,出入库记录,出入库流水,查看所有出入库记录,平台运营/审计,登录成功,1.出入库类型(入库/出库/调拨/盘点)2.仓库3.时间范围,1.分页列表2.每条记录关联单据号,1.类型标签不同颜色2.点击单据号跳转详情,1.无,1.超3个月查询→提示优化,库存流水审计,多条件组合→分页查询→关联业务单据,1.类型Tab2.高级筛选3.单据号超链接,流水列表接口
待分配,,待开发,,,,平台端,库存管理,库存管理,P2,盘点管理,盘点列表,查看盘点单列表,仓管/运营,登录成功,1.盘点状态2.仓库3.时间范围,1.盘点单列表2.盘盈盘亏金额,1.多Tab筛选,1.无,1.无数据→空状态,库存盘点管理,筛选→分页查询,1.状态Tab2.盘点单列表,盘点列表接口
待分配,,待开发,,,,平台端,财务中心,财务中心,P1,应收记录,应收列表,应收账款记录,平台财务,登录成功,1.应收状态2.时间范围3.商户名称,1.应收列表2.汇总金额,1.列表展示,1.无,1.无数据→空状态,应收账款管理,筛选→分页查询,1.筛选条件2.应收列表,应收列表接口
待分配,,待开发,,,,平台端,财务中心,财务中心,P1,分账记录,分账列表,订单分账记录,平台财务,登录成功,1.分账状态2.时间范围3.订单号,1.分账列表2.各方分账金额,1.列表展示,1.无,1.无数据→空状态,分账结果查询,筛选→分页查询,1.筛选条件2.分账列表,分账列表接口
待分配,,待开发,,,,平台端,财务中心,财务中心,P0,支付记录,支付流水,所有支付记录查询,平台财务/审计,登录成功,1.支付状态(待支付/已支付/已取消/已退款)2.支付方式3.时间范围4.订单号,1.支付列表2.汇总金额统计3.失败支付标红,1.失败红色高亮2.点击订单号跳转,1.导出后标记已导出,1.金额千分位显示,支付对账核查,支付流水→关联订单→关联商户对账,1.状态筛选Tab2.汇总金额卡片3.导出按钮,支付列表接口
待分配,,待开发,,,,平台端,财务中心,财务中心,P1,进项发票,进项发票列表,收到的进项发票,平台财务,登录成功,1.发票状态2.时间范围,1.发票列表2.发票金额,1.列表展示,1.无,1.无数据→空状态,进项发票管理,筛选→分页查询,1.发票列表2.下载按钮,发票列表接口
待分配,,待开发,,,,平台端,财务中心,财务中心,P1,销项发票,销项发票列表,开具的销项发票,平台财务,登录成功,1.发票状态2.时间范围,1.发票列表2.发票金额,1.列表展示,1.无,1.无数据→空状态,销项发票管理,筛选→分页查询,1.发票列表2.下载按钮,发票列表接口
待分配,,待开发,,,,平台端,财务中心,财务中心,P1,发票管理,发票详情,查看发票详细信息,平台财务,1.登录成功2.发票存在,1.发票ID,1.发票基本信息2.关联订单3.PDF预览,1.PDF在线预览,1.无,1.文件损坏→提示,发票详情查看,发票ID→查询信息+关联订单+文件流,1.查看链接2.PDF预览组件,发票详情接口
待分配,,待开发,,,,平台端,财务中心,财务中心,P2,发票管理,发票上传,上传发票附件,平台财务,登录成功,1.发票文件(PDF)2.发票号码3.关联订单号,1.上传成功提示,1.文件上传进度,1.生成发票记录,1.文件过大→提示压缩,发票归档,选择文件→上传→关联订单,1.上传按钮2.文件选择器,上传接口
待分配,,待开发,,,,平台端,财务中心,财务中心,P2,发票管理,发票关联订单,发票与订单关联,平台财务,1.登录成功2.发票已上传,1.发票ID2.订单ID,1.关联成功提示,1.选择订单弹窗,1.更新关联关系,1.已关联→提示"已关联",发票订单匹配,选择订单→更新发票关联表,1.关联按钮2.订单选择弹窗,关联接口
待分配,,待开发,,,,平台端,系统设置,系统设置,P0,用户管理,用户列表,平台用户列表,平台超管,登录成功,1.用户名2.角色3.状态,1.用户列表,1.列表展示,1.无,1.无数据→空状态,平台用户管理,筛选→查询用户列表,1.用户列表2.启用/禁用开关,用户列表接口
待分配,,待开发,,,,平台端,系统设置,系统设置,P0,员工管理,员工列表,平台员工列表,平台超管,登录成功,1.部门2.状态,1.员工列表,1.部门树筛选,1.无,1.无数据→空状态,员工管理,部门筛选→员工列表,1.部门树2.员工列表,员工列表接口
待分配,,待开发,,,,平台端,系统设置,系统设置,P0,角色管理,角色列表,角色权限列表,平台超管,登录成功,1.角色名称,1.角色列表,1.列表展示,1.无,1.无数据→空状态,角色管理,查询角色列表,1.角色列表2.配置权限按钮,角色列表接口
待分配,,待开发,,,,平台端,系统设置,系统设置,P0,角色管理,角色权限配置,配置角色的菜单权限,平台超管,1.登录成功2.超管角色,1.角色ID2.菜单ID数组(树形勾选)3.数据权限,1.保存成功提示,1.父选中子自动全选2.保存二次确认,1.权限更新需重新登录生效2.记录权限变更日志,1.超管角色禁止修改→提示"超级管理员不可修改",系统权限管控,勾选菜单→保存角色菜单关联→刷新缓存,1.权限树形组件2.全选按钮3.保存按钮,权限配置接口
待分配,,待开发,,,,平台端,系统设置,系统设置,P1,菜单管理,菜单列表,系统菜单结构,平台超管,登录成功,1.无,1.菜单树形列表,1.拖拽排序2.编辑菜单,1.菜单结构更新,1.循环嵌套→拖拽无效,菜单结构维护,拖拽→更新排序→刷新菜单树,1.树形面板2.新增/编辑按钮,菜单接口
待分配,,待开发,,,,平台端,系统设置,系统设置,P1,分账配置,分账规则配置,配置商品分账费率,平台财务/超管,登录成功,1.分账费率(百分比)2.生效时间,1.保存成功提示,1.表单编辑,1.更新分账配置2.新订单按新费率执行,1.费率>100%→校验不通过,分账规则设置,表单提交→更新分账配置表,1.配置表单2.保存按钮,分账配置接口
待分配,,待开发,,,,平台端,系统设置,系统设置,P1,物流配置,物流公司配置,配置物流公司列表,平台运营/超管,登录成功,1.物流公司名称2.编码3.是否启用,1.物流公司列表,1.增删改操作,1.更新物流商列表,1.重复编码→提示"编码已存在",物流商维护,增删改→更新物流配置表,1.新增按钮2.编辑弹窗3.启用开关,物流配置接口
待分配,,待开发,,,,平台端,系统设置,系统设置,P2,操作日志,操作日志,系统操作日志查询,平台超管/审计,登录成功,1.操作人2.功能模块3.时间范围,1.操作日志列表,1.多条件筛选,1.无,1.超3个月→提示缩小范围,系统审计追踪,筛选条件→分页查询日志,1.筛选表单2.日志列表,日志查询接口
