功能编码,Jira链接,开发状态,预估工时,开发负责人,测试负责人,所属端,模块,一级菜单,优先级,二级菜单,功能点,功能说明,适用角色,前置条件,输入字段,输出字段,交互说明,后置条件,异常场景,业务场景逻辑,数据流转,页面元素,依赖外部接口
待分配,,待开发,,,,工程仓端,仓库管理,仓库管理,P2,库存调拨,调拨列表,仓库间调拨记录,仓管/主管,登录成功,1.调拨状态2.时间范围,1.调拨单列表,1.列表展示,1.无,1.无数据→空状态,跨仓调货管理,筛选→分页查询,1.筛选表单2.调拨列表,调拨列表接口
待分配,,待开发,,,,工程仓端,仓库管理,仓库管理,P2,库存调拨,创建调拨,创建仓库间调拨单,主管,登录成功,1.源仓库ID2.目标仓库ID3.商品SKU+数量,1.创建成功生成调拨单号,1.弹窗选择商品2.数量校验≤源仓库存,1.生成调拨单2.源仓库预占库存,1.数量>库存→提示"源仓库库存不足",仓库间调货,创建调拨单→源仓预占→目标仓收货,1.创建按钮2.商品选择器,创建调拨接口
待分配,,待开发,,,,工程仓端,仓库管理,仓库管理,P1,收货批次,批次列表,收货批次列表,仓管员,登录成功,1.时间范围2.供应商,1.批次列表,1.多条件筛选,1.无,1.无数据→空状态,入库批次管理,筛选→分页查询,1.筛选条件2.批次列表,批次列表接口
待分配,,待开发,,,,工程仓端,订单管理,订单管理,P0,采购订单,订单列表,采购订单列表,采购/仓管/主管,登录成功,1.订单状态(待确认/待收货/已完成/已取消)2.时间范围,1.多Tab切换状态2.订单卡片3.订单汇总金额,1.Tab切换2.点击进入详情,1.无,1.无数据→空状态,采购订单管理中心,状态筛选→分页查询→渲染卡片,1.状态Tab2.订单卡片3.操作按钮区,采购订单列表接口
待分配,,待开发,,,,工程仓端,订单管理,订单管理,P1,采购订单,新建订单,手动创建采购订单,采购/主管,登录成功,1.供应商2.商品列表+数量,1.创建成功跳转详情,1.选择商品弹窗,1.生成采购订单,1.商品为空→提示"至少选一个商品",紧急采购直接下单,选择供应商商品→创建采购订单,1.新建订单按钮2.商品选择器,创建采购订单接口
待分配,,待开发,,,,工程仓端,订单管理,订单管理,P0,采购订单,订单详情,采购订单详细信息,采购/仓管/主管,1.登录成功2.订单存在,1.订单ID,1.供应商信息2.商品明细表格3.状态时间线4.收货/货损记录,1.竖向时间线展示流转2.收货按钮置灰逻辑,1.标记已查看,1.订单不存在→返回列表,采购订单完整信息查看,订单ID→查询基本信息+商品明细+状态流转,1.状态时间线2.商品表格3.操作按钮,订单详情接口
待分配,,待开发,,,,工程仓端,订单管理,订单管理,P0,采购订单,取消订单,取消待确认订单,采购/主管,1.登录成功2.订单状态="待确认",1.订单ID2.取消原因,1.取消成功提示刷新列表,1.二次确认弹窗2.取消原因输入,1.订单状态变"已取消"2.释放占用库存,1.已发货订单→提示"已发货不能取消",订单取消,点击取消→弹窗确认→调用取消接口,1.【取消订单】按钮2.确认弹窗,取消订单接口
待分配,,待开发,,,,工程仓端,订单管理,订单管理,P0,采购订单,订单收货,处理订单收货,仓管员,1.登录成功2.订单状态="待收货",1.订单ID,1.打开收货处理弹窗,1.点击触发收货弹窗,1.无,1.已收货→按钮置灰,采购订单到货入库,点击收货→打开收货处理弹窗,1.【订单收货】按钮,收货接口
待分配,,待开发,,,,工程仓端,订单管理,订单管理,P0,销售订单,订单列表,销售订单列表,销售/仓管/主管,登录成功,1.订单状态(待确认/待发货/已完成/已取消)2.时间范围,1.多Tab切换状态2.订单列表,1.Tab切换,1.无,1.无数据→空状态,施工方销售订单管理,状态筛选→分页查询→展示列表,1.状态Tab2.订单卡片,销售订单列表接口
待分配,,待开发,,,,工程仓端,订单管理,订单管理,P0,销售订单,订单详情,销售订单详细信息,销售/仓管,1.登录成功2.订单存在,1.订单ID,1.施工方信息2.商品明细3.状态时间线4.收货信息,1.竖向时间线,1.标记已查看,1.订单不存在→返回列表,销售订单详情查看,订单ID→查询详情→渲染时间线,1.时间线2.商品明细3.发货按钮,订单详情接口
待分配,,待开发,,,,工程仓端,订单管理,订单管理,P1,销售订单,订单发货,处理销售订单发货,仓管员,1.登录成功2.状态="待发货",1.订单ID2.物流公司(非必填)3.物流单号(非必填),1.发货成功提示,1.弹窗填写信息,1.状态变"已发货"2.库存扣减,1.无(物流字段非必填),施工方订单发货,填物流信息→提交→更新状态扣库存,1.【发货】按钮2.物流信息弹窗,发货接口
待分配,,待开发,,,,工程仓端,订单管理,订单管理,P2,销售订单,订单导出,订单数据导出Excel,主管/财务,1.登录成功2.筛选条件,1.筛选条件,1.Excel文件下载,1.导出显示进度,1.标记已导出,1.导出>1000条→提示分批,销售数据报表,筛选→异步生成Excel→下载,1.导出按钮2.进度提示,导出接口
待分配,,待开发,,,,工程仓端,财务中心,财务中心,P0,支付记录,支付流水,工程仓支付记录,财务/主管,登录成功,1.支付状态2.时间范围3.订单号,1.支付列表2.合计金额统计,1.列表展示,1.无,1.无数据→空状态,支付流水对账查询,筛选条件→查询支付列表→渲染,1.筛选条件2.支付列表3.合计金额,支付列表接口
待分配,,待开发,,,,工程仓端,财务中心,财务中心,P1,进项发票,发票列表,收到的供应商进项发票,财务人员,登录成功,1.发票状态2.时间范围,1.发票列表2.可抵扣金额,1.列表展示,1.无,1.无数据→空状态,进项发票管理,筛选→分页查询,1.发票列表2.下载按钮,发票列表接口
待分配,,待开发,,,,工程仓端,财务中心,财务中心,P1,进项发票,上传发票,上传进项发票,财务人员,登录成功,1.发票PDF/图片2.发票号码3.关联订单号,1.上传成功提示,1.文件上传显示进度,1.生成发票记录,1.文件过大→提示压缩,进项发票归档,选择文件→上传→关联订单,1.上传按钮2.文件选择器,发票上传接口
待分配,,待开发,,,,工程仓端,财务中心,财务中心,P1,销项发票,发票列表,开给施工方的销项发票,财务人员,登录成功,1.发票状态2.时间范围,1.发票列表2.开票金额,1.列表展示,1.无,1.无数据→空状态,销项发票管理,筛选→分页查询,1.发票列表2.下载按钮,发票列表接口
待分配,,待开发,,,,工程仓端,财务中心,财务中心,P2,对账单,对账单列表,与供应商对账,财务/主管,登录成功,1.对账状态2.供应商3.时间范围,1.对账单列表,1.多条件筛选,1.无,1.无数据→空状态,供应商对账,筛选→分页查询,1.筛选条件2.对账单列表,对账单接口
待分配,,待开发,,,,工程仓端,系统设置,系统设置,P1,账号列表,账号列表,工程仓账号列表,主管/管理员,登录成功,1.搜索关键词2.状态,1.账号列表,1.列表展示,1.无,1.无数据→空状态,子账号管理,筛选→查询账号列表→渲染,1.账号列表2.新增/编辑按钮,账号列表接口
待分配,,待开发,,,,工程仓端,系统设置,系统设置,P1,员工管理,员工列表,工程仓员工列表,主管/管理员,登录成功,1.部门2.状态,1.员工列表,1.部门树筛选,1.无,1.无数据→空状态,员工管理,部门筛选→员工列表,1.部门树2.员工列表,员工列表接口
待分配,,待开发,,,,工程仓端,系统设置,系统设置,P1,角色管理,角色列表,工程仓角色列表,主管/管理员,登录成功,1.无,1.角色列表,1.列表展示,1.无,1.无数据→空状态,角色管理,查询角色列表,1.角色列表2.配置权限按钮,角色列表接口
待分配,,待开发,,,,工程仓端,系统设置,系统设置,P1,角色管理,权限配置,配置角色菜单权限,主管/管理员,1.登录成功2.管理员角色,1.角色ID2.菜单权限数组,1.保存成功提示,1.树形勾选2.保存二次确认,1.权限更新生效,1.管理员角色不能修改→提示,权限分配,勾选菜单→保存角色权限,1.权限树形组件2.保存按钮,权限配置接口
