功能编码,Jira链接,开发状态,预估工时,开发负责人,测试负责人,所属端,模块,一级菜单,优先级,二级菜单,功能点,功能说明,适用角色,前置条件,输入字段,输出字段,交互说明,后置条件,异常场景,业务场景逻辑,数据流转,页面元素,依赖外部接口
待分配,,待开发,,,,工程仓端,仓库管理,仓库管理,P0,出入库管理,入库管理-列表,入库单列表管理,仓管员,登录成功,1.入库状态(待收货/已完成/已取消)2.时间范围,1.多Tab切换状态2.入库单列表3.批次数量显示,1.点击状态Tab切换2.每个入库单显示批次数量,1.无,1.无数据→空状态,入库管理列表,状态筛选→分页查询→显示列表,1.状态Tab2.入库单卡片3.批次数量标签,入库列表接口
待分配,,待开发,,,,工程仓端,仓库管理,仓库管理,P0,出入库管理,入库管理-批次详情,查看完整批次记录,仓管员,1.登录成功2.多批次入库单,1.入库单ID,1.批次明细列表(批次号/数量/仓库/时间),1.弹窗展示,1.无,1.无批次→不显示查看按钮,多批次入库明细查看,点击"查看批次"→弹窗请求详情→展示,1.【查看批次】按钮2.详情弹窗,批次详情接口
待分配,,待开发,,,,工程仓端,仓库管理,仓库管理,P0,出入库管理,入库管理-开始收货,处理采购订单收货,仓管员,1.登录成功2.入库单状态="待收货",1.入库单ID2.每个SKU实收数量3.货损数量4.货损证明图片(非必填)5.货损说明,1.收货成功提示跳转详情,1.弹窗填写数量2.上传货损图片,1.入库状态变"已完成"2.库存增加3.生成货损记录,1.实收数量<0→校验不通过,订单收货入库,填收货数量→提交→更新库存+状态+货损记录,1.【开始收货】按钮2.数量输入框3.图片上传区,收货接口
待分配,,待开发,,,,工程仓端,仓库管理,仓库管理,P0,出入库管理,出库管理-列表,出库单列表管理,仓管员,登录成功,1.出库状态(待出库/已完成/已取消)2.时间范围,1.多Tab切换状态2.出库单列表,1.Tab切换,1.无,1.无数据→空状态,出库管理列表,状态筛选→分页查询→展示列表,1.状态Tab2.出库单卡片,出库列表接口
待分配,,待开发,,,,工程仓端,订单管理,订单管理,P0,采购订单,订单列表,采购订单列表,采购/仓管,登录成功,1.订单状态(待确认/待收货/已完成/已取消)2.时间范围,1.多Tab切换状态2.订单卡片3.订单汇总金额,1.Tab切换2.点击订单进入详情,1.无,1.无数据→空状态,采购订单管理,状态筛选→分页查询→渲染卡片列表,1.状态Tab2.订单卡片3.操作按钮区,采购订单列表接口
待分配,,待开发,,,,工程仓端,订单管理,订单管理,P0,采购订单,订单详情,采购订单详细信息,采购/仓管,1.登录成功2.订单存在,1.订单ID,1.订单基本信息2.商品明细3.状态时间线4.收货记录,1.竖向时间线2.收货按钮,1.标记已查看,1.订单不存在→返回列表,订单详情查看,订单ID→查询基本信息+商品明细+状态流转,1.状态时间线2.商品表格3.操作按钮,订单详情接口
待分配,,待开发,,,,工程仓端,订单管理,订单管理,P0,采购订单,取消订单,取消待确认订单,采购人员,1.登录成功2.订单状态="待确认",1.订单ID2.取消原因,1.取消成功提示刷新列表,1.二次确认弹窗2.取消原因输入,1.订单状态变"已取消"2.库存释放,1.已发货订单→提示"已发货不能取消",订单取消,点击取消→弹窗确认→调用取消接口,1.【取消订单】按钮2.确认弹窗,取消订单接口
待分配,,待开发,,,,工程仓端,订单管理,订单管理,P0,采购订单,订单收货,处理订单收货,仓管员,1.登录成功2.订单状态="待收货",1.订单ID,1.跳转到收货弹窗,1.点击触发收货弹窗,1.无,1.已收货→按钮置灰,采购入库,点击收货→打开收货处理弹窗,1.【订单收货】按钮,收货接口
待分配,,待开发,,,,工程仓端,订单管理,订单管理,P0,销售订单,订单列表,销售订单列表,销售/仓管,登录成功,1.订单状态(待确认/待发货/已完成/已取消)2.时间范围,1.多Tab切换状态2.订单列表,1.Tab切换,1.无,1.无数据→空状态,销售订单管理,状态筛选→分页查询→展示列表,1.状态Tab2.订单卡片,销售订单列表接口
待分配,,待开发,,,,工程仓端,订单管理,订单管理,P0,销售订单,订单详情,销售订单详细信息,销售/仓管,1.登录成功2.订单存在,1.订单ID,1.施工方信息2.商品明细3.状态时间线,1.竖向时间线,1.标记已查看,1.订单不存在→返回列表,订单详情查看,订单ID→查询详情→渲染页面,1.时间线2.商品明细3.发货按钮,订单详情接口
待分配,,待开发,,,,工程仓端,财务中心,财务中心,P0,支付记录,支付流水,工程仓支付记录,财务人员,登录成功,1.支付状态2.时间范围3.订单号,1.支付列表2.合计金额,1.列表展示,1.无,1.无数据→空状态,支付流水查询,筛选条件→查询支付列表→渲染,1.筛选条件2.支付列表3.合计金额,支付列表接口
待分配,,待开发,,,,工程仓端,财务中心,财务中心,P1,进项发票,上传发票,上传进项发票,财务人员,登录成功,1.发票PDF/图片2.发票号码3.关联订单号,1.上传成功提示,1.文件上传显示进度,1.生成发票记录,1.文件过大→提示压缩,发票归档,选择文件→上传→生成发票记录,1.上传按钮2.文件选择器,发票上传接口
待分配,,待开发,,,,工程仓端,系统设置,系统设置,P1,账号列表,账号列表,工程仓账号列表,主管,登录成功,1.搜索关键词,1.账号列表,1.列表展示,1.无,1.无数据→空状态,账号管理,查询账号列表→渲染,1.账号列表2.新增/编辑按钮,账号列表接口
待分配,,待开发,,,,工程仓端,系统设置,系统设置,P1,角色管理,权限配置,配置角色权限,主管,1.登录成功2.管理员角色,1.角色ID2.菜单权限数组,1.保存成功提示,1.树形勾选,1.权限更新,1.超级管理员禁止修改,权限分配,勾选菜单→保存角色权限,1.权限树形组件2.保存按钮,权限配置接口
