所属端,模块,一级菜单,优先级,二级菜单,功能点,功能说明,交互说明,业务场景逻辑,依赖外部接口
工程仓端,订单管理,订单管理,P1,销售订单,订单导出,订单数据导出Excel,导出按钮,数据报表,导出接口
工程仓端,财务中心,财务中心,P0,支付记录,支付流水,工程仓支付记录,列表展示,支付流水查询,支付列表接口
工程仓端,财务中心,财务中心,P1,进项发票,进项发票列表,收到的供应商发票,列表展示,进项发票管理,发票列表接口
工程仓端,财务中心,财务中心,P1,进项发票,上传发票,上传进项发票,上传附件,发票归档,发票上传接口
工程仓端,财务中心,财务中心,P1,销项发票,销项发票列表,开给施工方的发票,列表展示,销项发票管理,发票列表接口
工程仓端,财务中心,财务中心,P2,对账单,对账单列表,与供应商对账,列表展示,对账管理,对账单接口
工程仓端,系统设置,系统设置,P1,账号列表,账号列表,工程仓账号列表,列表展示,账号管理,账号列表接口
工程仓端,系统设置,系统设置,P1,员工管理,员工列表,工程仓员工列表,列表展示,员工管理,员工列表接口
工程仓端,系统设置,系统设置,P1,角色管理,角色列表,工程仓角色列表,列表展示,角色管理,角色列表接口
工程仓端,系统设置,系统设置,P1,角色管理,权限配置,配置角色权限,勾选配置,权限分配,权限配置接口
