所属端,模块,一级菜单,优先级,二级菜单,功能点,功能说明,交互说明,业务场景逻辑,依赖外部接口
平台端,商品市场,商品市场,P2,价格管理,价格对比,商品价格对比分析,图表展示,价格分析,统计接口
平台端,商品市场,商品市场,P2,采购计划,计划列表,查看采购计划,列表展示,采购计划管理,计划列表接口
平台端,订单管理,订单管理,P0,订单列表,全量订单查询,查询所有端的订单列表,列表+筛选,全量订单监控,订单列表接口
平台端,订单管理,订单管理,P0,订单列表,订单详情,查看订单详细信息,详情页展示,订单查看,订单详情接口
平台端,订单管理,订单管理,P1,订单列表,订单状态追踪,订单状态流转记录,时间线展示,订单追踪,状态日志接口
平台端,订单管理,订单管理,P1,采购订单,平台采购订单,查看平台采购订单,列表展示,采购管理,采购订单列表接口
平台端,订单管理,订单管理,P1,销售订单,平台销售订单,查看平台销售订单,列表展示,销售管理,销售订单列表接口
平台端,订单管理,订单管理,P2,销售订单,订单导出,订单数据导出Excel,导出按钮,数据报表,导出接口
平台端,库存管理,库存管理,P1,库存总览,全平台库存统计,按维度统计展示库存数据,统计看板,库存监控,库存统计接口
平台端,库存管理,库存管理,P1,仓库列表,仓库列表查询,查看所有仓库列表,列表展示,仓库管理,仓库列表接口
平台端,库存管理,库存管理,P1,仓库详情,查看仓库详细库存,详情页展示,仓库库存查看,仓库详情接口
平台端,库存管理,库存管理,P2,调拨管理,库存调拨列表,查看跨仓库调拨记录,列表展示,库存调拨管理,调拨列表接口
平台端,库存管理,库存管理,P2,调拨管理,创建调拨单,创建仓库间调拨单,表单提交,库存调拨操作,创建调拨接口
平台端,库存管理,库存管理,P1,出入库记录,出入库流水,查看所有出入库记录,列表+筛选,库存流水查询,流水列表接口
平台端,库存管理,库存管理,P2,盘点管理,盘点列表,查看盘点单列表,列表展示,库存盘点管理,盘点列表接口
平台端,库存管理,库存管理,P2,盘点管理,盘点详情,查看盘点单详情,详情页展示,盘点结果查看,盘点详情接口
平台端,财务中心,财务中心,P1,应收记录,应收列表,应收账款记录,列表展示,应收管理,应收列表接口
平台端,财务中心,财务中心,P1,分账记录,分账列表,订单分账记录,列表展示,分账结果查询,分账列表接口
平台端,财务中心,财务中心,P0,支付记录,支付流水,所有支付记录查询,列表+筛选,支付流水监控,支付列表接口
平台端,财务中心,财务中心,P1,进项发票,进项发票列表,收到的进项发票,列表展示,进项发票管理,发票列表接口
平台端,财务中心,财务中心,P1,销项发票,销项发票列表,开具的销项发票,列表展示,销项发票管理,发票列表接口
平台端,财务中心,财务中心,P1,发票管理,发票详情,查看发票详细信息,详情页展示,发票详情查看,发票详情接口
平台端,财务中心,财务中心,P2,发票管理,发票上传,上传发票附件,文件上传,发票归档,上传接口
平台端,财务中心,财务中心,P2,发票管理,发票关联订单,发票与订单关联,选择订单关联,发票订单匹配,关联接口
平台端,系统设置,系统设置,P0,用户管理,用户列表,平台用户列表,列表展示,用户管理,用户列表接口
平台端,系统设置,系统设置,P0,员工管理,员工列表,平台员工列表,列表展示,员工管理,员工列表接口
平台端,系统设置,系统设置,P0,角色管理,角色列表,角色权限列表,列表展示,角色管理,角色列表接口
平台端,系统设置,系统设置,P0,角色管理,角色权限配置,配置角色的菜单权限,树形勾选配置,权限分配,权限配置接口
平台端,系统设置,系统设置,P1,菜单管理,菜单列表,系统菜单结构,列表展示,菜单维护,菜单列表接口
平台端,系统设置,系统设置,P1,分账配置,分账规则配置,配置商品分账费率,表单编辑,费率配置,分账配置接口
平台端,系统设置,系统设置,P1,物流配置,物流公司配置,配置物流公司列表,列表增删改,物流商维护,物流配置接口
平台端,系统设置,系统设置,P2,操作日志,操作日志,系统操作日志查询,列表+筛选,审计追踪,日志接口
